timestamp,label,ESP32-1,ESP32-2,ESP32-3,ESP32-4
2025-11-27 12:10:10.922,0,16,14,17,15
2025-11-27 12:10:11.122,0,48,46,36,47
2025-11-27 12:10:11.322,0,42,47,44,48
2025-11-27 12:10:11.522,0,48,47,35,48
2025-11-27 12:10:11.722,0,50,47,35,48
2025-11-27 12:10:11.922,0,50,47,35,48
2025-11-27 12:10:12.122,0,49,47,35,48
2025-11-27 12:10:12.322,0,50,47,35,48
2025-11-27 12:10:12.522,0,50,47,35,48
2025-11-27 12:10:12.722,0,50,47,35,48
2025-11-27 12:10:12.922,0,45,47,45,48
2025-11-27 12:10:13.122,0,50,47,45,48
2025-11-27 12:10:13.322,0,50,47,45,30
2025-11-27 12:10:13.522,0,50,47,45,46
2025-11-27 12:10:13.722,0,41,47,45,48
2025-11-27 12:10:13.922,0,49,47,45,48
2025-11-27 12:10:14.122,0,50,47,45,47
2025-11-27 12:10:14.322,0,50,47,45,47
2025-11-27 12:10:14.522,0,50,47,38,48
2025-11-27 12:10:14.722,0,45,47,44,48
2025-11-27 12:10:14.922,0,50,47,45,48
2025-11-27 12:10:15.122,0,50,47,45,48
2025-11-27 12:10:15.322,0,39,47,39,48
2025-11-27 12:10:15.522,0,49,47,45,47
2025-11-27 12:10:15.722,0,50,47,45,48
2025-11-27 12:10:15.922,0,50,47,45,48
2025-11-27 12:10:16.122,0,50,47,45,48
2025-11-27 12:10:16.322,0,42,47,45,48
2025-11-27 12:10:16.522,0,48,47,45,48
2025-11-27 12:10:16.722,0,50,47,45,48
2025-11-27 12:10:16.922,0,40,47,45,48
2025-11-27 12:10:17.122,0,49,47,38,48
2025-11-27 12:10:17.322,0,51,47,38,48
2025-11-27 12:10:17.522,0,51,47,44,48
2025-11-27 12:10:17.722,0,51,47,45,48
2025-11-27 12:10:17.922,0,51,47,45,47
2025-11-27 12:10:18.122,0,45,47,45,47
2025-11-27 12:10:18.322,0,50,47,45,47
2025-11-27 12:10:18.522,0,50,47,45,47
2025-11-27 12:10:18.722,0,42,47,45,47
2025-11-27 12:10:18.922,0,49,47,45,47
2025-11-27 12:10:19.122,0,50,47,45,47
2025-11-27 12:10:19.322,0,50,47,45,47
2025-11-27 12:10:19.522,0,50,47,41,47
2025-11-27 12:10:19.722,0,45,47,41,47
2025-11-27 12:10:19.922,0,50,47,45,47
2025-11-27 12:10:20.122,0,50,47,38,47
2025-11-27 12:10:20.322,0,40,47,42,47
2025-11-27 12:10:20.522,0,49,47,42,47
2025-11-27 12:10:20.722,0,50,47,45,47
2025-11-27 12:10:20.922,0,50,47,45,47
2025-11-27 12:10:21.122,0,50,47,45,47
2025-11-27 12:10:21.322,0,43,47,45,47
2025-11-27 12:10:21.522,0,49,47,38,48
2025-11-27 12:10:21.722,0,50,47,42,46
2025-11-27 12:10:21.922,0,50,47,42,47
2025-11-27 12:10:22.122,0,41,47,45,48
2025-11-27 12:10:22.322,0,49,47,45,48
2025-11-27 12:10:22.522,0,50,47,45,47
2025-11-27 12:10:22.722,0,50,47,45,47
2025-11-27 12:10:22.922,0,50,47,45,46
2025-11-27 12:10:23.122,0,45,47,45,47
2025-11-27 12:10:23.322,0,50,47,45,47
2025-11-27 12:10:23.522,0,50,47,45,47
2025-11-27 12:10:23.722,0,41,47,45,47
2025-11-27 12:10:23.922,0,49,47,45,47
2025-11-27 12:10:24.122,0,50,47,45,46
2025-11-27 12:10:24.322,0,51,47,45,47
2025-11-27 12:10:24.522,0,51,47,45,47
2025-11-27 12:10:24.722,0,45,47,45,47
2025-11-27 12:10:24.922,0,50,47,45,47
2025-11-27 12:10:25.122,0,50,47,45,45
2025-11-27 12:10:25.322,0,39,47,34,47
2025-11-27 12:10:25.522,0,39,47,44,48
2025-11-27 12:10:25.722,0,50,47,45,48
2025-11-27 12:10:25.922,0,50,47,45,48
2025-11-27 12:10:26.122,0,50,47,45,48
2025-11-27 12:10:26.322,0,50,47,45,46
2025-11-27 12:10:26.522,0,43,47,45,47
2025-11-27 12:10:26.722,0,49,47,45,47
2025-11-27 12:10:26.922,0,50,47,45,48
2025-11-27 12:10:27.122,0,41,47,45,48
2025-11-27 12:10:27.322,0,49,47,45,48
2025-11-27 12:10:27.522,0,50,47,43,47
2025-11-27 12:10:27.722,0,50,47,45,48
2025-11-27 12:10:27.922,0,50,47,45,47
2025-11-27 12:10:28.122,0,45,47,45,48
2025-11-27 12:10:28.322,0,50,47,45,48
2025-11-27 12:10:28.522,0,50,47,45,48
2025-11-27 12:10:28.722,0,41,47,45,48
2025-11-27 12:10:28.922,0,49,47,45,47
2025-11-27 12:10:29.122,0,50,47,45,47
2025-11-27 12:10:29.322,0,50,47,45,47
2025-11-27 12:10:29.522,0,50,47,45,46
2025-11-27 12:10:29.722,0,45,47,45,47
2025-11-27 12:10:29.922,0,50,47,45,47
2025-11-27 12:10:30.122,0,50,47,45,45
2025-11-27 12:10:30.322,0,50,47,45,46
